regime,asset_1,asset_2,observations,correlation
Calm / easing,SPY,IEF,619,0.04486960527995137
Calm / easing,SPY,GLD,619,0.14514125178460607
Calm / easing,IEF,GLD,619,0.3207927446780065
Tightening,SPY,IEF,108,0.42203417526029324
Tightening,SPY,GLD,108,0.1936463884694654
Tightening,IEF,GLD,108,0.19255934721864268
Elevated risk,SPY,IEF,322,0.02609764924451874
Elevated risk,SPY,GLD,322,0.07093635425490606
Elevated risk,IEF,GLD,322,0.4050510799175508
Stress,SPY,IEF,62,0.03150682913405673
Stress,SPY,GLD,62,0.1391670426831333
Stress,IEF,GLD,62,0.36567925296066295
